[breadroll-mall] 2022-05-19 08:48:53.717 [main] INFO  com.cda.PmallServer - Starting PmallServer on LAPTOP-GR04VPM8 with PID 14264 (C:\Users\陈大澳\Desktop\毕设相关\项目开发文档\Springboot-Mall\target\classes started by 陈大澳 in C:\Users\陈大澳\Desktop\毕设相关\项目开发文档\Springboot-Mall)
[breadroll-mall] 2022-05-19 08:48:55.680 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource random [org.springframework.boot.env.RandomValuePropertySource] to EncryptablePropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.680 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application-jdbc.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.680 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application-mail.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.680 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application-redis.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.681 [main] INFO  c.u.j.EncryptablePropertySourceConverter - Converting PropertySource applicationConfig: [classpath:/application.yml] [org.springframework.boot.env.OriginTrackedMapPropertySource] to EncryptableMapPropertySourceWrapper
[breadroll-mall] 2022-05-19 08:48:55.819 [main] INFO  c.u.j.filter.DefaultLazyPropertyFilter - Property Filter custom Bean not found with name 'encryptablePropertyFilter'. Initializing Default Property Filter
[breadroll-mall] 2022-05-19 08:48:56.299 [main] INFO  c.u.j.resolver.DefaultLazyPropertyResolver - Property Resolver custom Bean not found with name 'encryptablePropertyResolver'. Initializing Default Property Resolver
[breadroll-mall] 2022-05-19 08:48:56.304 [main] INFO  c.u.j.detector.DefaultLazyPropertyDetector - Property Detector custom Bean not found with name 'encryptablePropertyDetector'. Initializing Default Property Detector
[breadroll-mall] 2022-05-19 08:48:56.514 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9999 (http)
[breadroll-mall] 2022-05-19 08:48:56.532 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9999"]
[breadroll-mall] 2022-05-19 08:48:56.532 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[breadroll-mall] 2022-05-19 08:48:56.533 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.41]
[breadroll-mall] 2022-05-19 08:48:56.536 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.30] using APR version [1.7.0].
[breadroll-mall] 2022-05-19 08:48:56.537 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
[breadroll-mall] 2022-05-19 08:48:56.537 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[breadroll-mall] 2022-05-19 08:48:56.546 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1k  25 Mar 2021]
[breadroll-mall] 2022-05-19 08:48:56.807 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[breadroll-mall] 2022-05-19 08:48:56.807 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2931 ms
[breadroll-mall] 2022-05-19 08:48:57.343 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
[breadroll-mall] 2022-05-19 08:48:57.623 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
[breadroll-mall] 2022-05-19 08:48:57.719 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.25.Final
[breadroll-mall] 2022-05-19 08:48:57.968 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
[breadroll-mall] 2022-05-19 08:48:58.180 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL57Dialect
[breadroll-mall] 2022-05-19 08:48:59.423 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
[breadroll-mall] 2022-05-19 08:48:59.439 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
[breadroll-mall] 2022-05-19 08:49:02.619 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
[breadroll-mall] 2022-05-19 08:49:02.920 [main] WARN  org.springframework.data.convert.CustomConversions - Registering converter from class org.springframework.data.geo.Point to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[breadroll-mall] 2022-05-19 08:49:02.921 [main] WARN  org.springframework.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.geo.Point as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[breadroll-mall] 2022-05-19 08:49:02.921 [main] WARN  org.springframework.data.convert.CustomConversions - Registering converter from class org.springframework.data.elasticsearch.core.geo.GeoPoint to interface java.util.Map as writing converter although it doesn't convert to a store-supported type! You might want to check your annotation setup at the converter implementation.
[breadroll-mall] 2022-05-19 08:49:02.921 [main] WARN  org.springframework.data.convert.CustomConversions - Registering converter from interface java.util.Map to class org.springframework.data.elasticsearch.core.geo.GeoPoint as reading converter although it doesn't convert from a store-supported type! You might want to check your annotation setup at the converter implementation.
[breadroll-mall] 2022-05-19 08:49:03.212 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Spring Data Elasticsearch: 4.0.6.RELEASE
[breadroll-mall] 2022-05-19 08:49:03.212 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client in build: 7.6.2
[breadroll-mall] 2022-05-19 08:49:03.212 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch Client used: 7.6.2
[breadroll-mall] 2022-05-19 08:49:03.212 [main] INFO  o.s.data.elasticsearch.support.VersionInfo - Version Elasticsearch cluster: 7.6.1
[breadroll-mall] 2022-05-19 08:49:03.519 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9999"]
[breadroll-mall] 2022-05-19 08:49:03.546 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9999 (http) with context path ''
[breadroll-mall] 2022-05-19 08:49:03.566 [main] INFO  com.cda.PmallServer - Started PmallServer in 10.995 seconds (JVM running for 13.724)
[breadroll-mall] 2022-05-19 08:49:03.573 [main] INFO  com.cda.PmallServerRunner - Executing command line runner...
[breadroll-mall] 2022-05-19 08:50:35.312 [http-nio-9999-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[breadroll-mall] 2022-05-19 08:50:35.312 [http-nio-9999-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[breadroll-mall] 2022-05-19 08:50:35.319 [http-nio-9999-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
[breadroll-mall] 2022-05-19 09:53:14.790 [http-nio-9999-exec-5] INFO  sdk.biz.err - Summary^_^10000^_^null^_^ProtocalMustParams:charset=UTF-8&method=alipay.trade.refund&sign=hO+yjALawx7gkeG8hInrjgezSjG3ORmWLHB/9pxWj7WwWJaqyInz0/Kv/CqAyMQ8coq7b/pMmpEmkibyiQ4PMF/BRNzuGzLsNMXZogeOkGnviuaIhugL0oybHI/JdmduKaBj7nb72j8/S9W6JpDnfsVZACODqaUQQCMYDSzQyglT4pBY2d8pvUonabFSAFkUS7xoaPC/JUUvoybgYGvX+gojZwudkZRH1TcvOAuZpGlC5W9Zu4hCTuo1g32HiNS5y/DBnwmCJqRP91cx1t0WRHUPt4EYv1kj5JZaeBS/rAWji2646g5xvpz/5KvXSbItD6sa0tXeItgOkGIKQQjSCA==&version=1.0&app_id=2021000119656007&sign_type=RSA2&timestamp=2022-05-19 09:53:11^_^ProtocalOptParams:alipay_sdk=alipay-sdk-java-4.10.192.ALL&format=json^_^ApplicationParams:biz_content={"out_trade_no":"2251908223738","refund_amount":"659"}^_^29ms,3563ms,35ms
